nom_barrage,apports_journaliers,id_barrage,lachers_journaliers,stock_actuel,cumul_mensuel_apports,cumul_annuel_apports,cumul_mensuel_lachers,cumul_annuel_lachers,moyenne_mensuelle_apports,cumul_apports_annee_prec,moyenne_periode,stock_annee_prec,capacite_totale_actuelle,altitude_niveau_eau,capacite_totale_initiale,etat,annee_mise_en_service,Latitude,Longitude,Bassin_versant,Date,taux_remplissage,année,region
mellegue,1.86224,1,4.34,26.2525,27.8321,65.1399,24.9147,50.6694,15.1831,8.13592,131.524,8.77592,51.13,265.0,267.67,1.0,1954,36.3144,8.70273,10300.0,2025-04-23,51.34461177390964,2025,Kef
sarrat,0.00441021,36,0.028,7.36512,1.53739,7.88898,0.828216,1.59889,1.382,2.34597,13.1645,4.53357,21.0,546.0,21.0,1.0,2016,35.8322,8.4434,1850.0,2025-04-23,35.072,2025,Kef
benmetir,0.0969802,2,0.0432,43.6705,3.0009,24.458,0.9936,12.7557,4.65287,27.7699,40.5516,40.6226,60.393,436.5,61.63,1.0,1954,36.7471,8.7419,103.0,2025-04-23,72.31053267762819,2025,Bizerte
kasseb,0.110105,3,0.0648,26.0445,3.54845,25.8275,1.4904,14.9958,3.88401,23.5896,41.1871,22.3902,76.9,292.04,81.875,1.0,1968,36.7614,9.0024,101.0,2025-04-23,33.868010403120934,2025,Bizerte
barbara,0.289221,4,0.6246,61.7546,6.34572,50.6821,4.96395,40.2474,8.57463,68.2462,79.5524,58.931,60.545,182.0,74.82,1.0,1998,36.7341,8.53173,177.0,2025-04-23,101.99785283673302,2025,Jendouba
sidisalem,2.86179,5,0.0432,134.595,20.6528,87.0548,0.98748,76.5601,45.272,119.735,354.093,233.235,580.348,115.0,814.0,1.0,1981,36.5907,9.3971,7950.0,2025-04-23,23.192119211231883,2025,Béja
bouheurtma,0.0859514,6,0.030549,53.2763,4.74201,43.6966,1.18209,37.3404,8.32129,49.0201,75.6614,69.6661,145.037,221.0,150.5,1.0,1976,36.6719,8.78758,390.0,2025-04-23,36.732902638637036,2025,Jendouba
joumine,0.108882,7,0.099343,26.264,2.81291,33.1756,2.2864,19.1037,6.67555,28.7385,71.9113,31.4072,118.773,90.0,129.9,1.0,1983,36.9909,9.6137,418.0,2025-04-23,22.112769737229844,2025,Bizerte
ghezala,0.00109887,8,0.0,2.19216,0.12882,2.2794,0.019824,0.019824,0.955746,2.73186,8.98318,2.81874,10.004,82.5,11.7,1.0,1984,37.0594,9.5458,48.0,2025-04-23,21.91283486605358,2025,Bizerte
melah,0.0123578,33,0.0,10.128,0.667138,9.44695,0.0,0.0,1.57,10.8799,24.3037,5.7106,41.0,136.0,41.0,1.0,2015,37.0761,9.4488,85.9,2025-04-23,24.702439024390245,2025,Bizerte
